Time_A,Time_B,X,Y,Vx,Vy 
82.5,83.5,1220.8919067382812,262.1122131347656,-0.21618652,0.22442627
82.5,83.5,1312.8632202148438,277.12962341308594,-0.27355957,0.25924683
82.5,83.5,1333.8109130859375,348.0777587890625,-0.37817383,0.15551758
82.5,83.5,1291.864013671875,287.1148376464844,-0.27197266,0.2296753
82.5,83.5,1178.8976440429688,245.1241226196289,-0.20471191,0.24824524
82.5,83.5,819.0753173828125,201.13582611083984,0.15063477,0.27165222
82.5,83.5,1268.8672485351562,302.1062316894531,-0.26550293,0.21246338
82.5,83.5,1272.8584594726562,344.0775604248047,-0.28308105,0.15512085
82.5,83.5,1272.8616943359375,264.1170959472656,-0.27661133,0.2341919
82.5,83.5,1280.865966796875,261.11932373046875,-0.2680664,0.23864746
82.5,83.5,1139.9453735351562,207.1363296508789,-0.10925293,0.2726593
82.5,83.5,689.1155090332031,284.1238098144531,0.23101807,0.24761963
82.5,83.5,1314.84814453125,409.04527282714844,-0.30371094,0.090545654
82.5,83.5,1082.9309692382812,191.15518951416016,-0.13806152,0.31037903
82.5,83.5,631.1312866210938,369.0948944091797,0.26257324,0.18978882
82.5,83.5,1291.8690185546875,292.1111602783203,-0.2619629,0.22232056
82.5,83.5,782.0857543945312,207.1385040283203,0.17150879,0.27700806
82.5,83.5,1319.8424072265625,709.9488525390625,-0.31518555,-0.10229492
82.5,83.5,1329.8289794921875,402.0547790527344,-0.34204102,0.109558105
82.5,83.5,1070.927978515625,191.1549835205078,-0.14404297,0.30996704
82.5,83.5,1145.9564208984375,227.14432525634766,-0.0871582,0.2886505
82.5,83.5,1328.8392333984375,484.02503967285156,-0.3215332,0.050079346
82.5,83.5,1522.7531127929688,881.8661193847656,-0.4937744,-0.26776123
82.5,83.5,1363.8363037109375,525.9983825683594,-0.32739258,-0.0032348633
82.5,83.5,741.10009765625,251.12493896484375,0.20019531,0.24987793
82.5,83.5,781.0426635742188,152.15718841552734,0.08532715,0.31437683
82.5,83.5,1342.82568359375,399.0680389404297,-0.3486328,0.13607788
82.5,83.5,631.1345825195312,375.0906524658203,0.26916504,0.18130493
82.5,83.5,652.1329956054688,347.0550231933594,0.2659912,0.11004639
82.5,83.5,1131.953369140625,199.1424560546875,-0.09326172,0.2849121
82.5,83.5,1400.8323364257812,445.04913330078125,-0.33532715,0.0982666
82.5,83.5,1385.7981567382812,447.0574035644531,-0.40368652,0.11480713
82.5,83.5,680.1185302734375,303.1091766357422,0.23706055,0.21835327
82.5,83.5,654.1345825195312,341.0628356933594,0.26916504,0.12567139
82.5,83.5,657.1341247558594,334.07386779785156,0.2682495,0.1477356
82.5,83.5,1255.8811645507812,334.09014892578125,-0.2376709,0.18029785
82.5,83.5,1255.8817749023438,329.0940856933594,-0.2364502,0.18817139
82.5,83.5,1190.8976440429688,256.1273498535156,-0.20471191,0.2546997
82.5,83.5,1391.8034057617188,554.9960327148438,-0.39318848,-0.00793457
82.5,83.5,1329.8408203125,477.03387451171875,-0.31835938,0.06774902
82.5,83.5,1045.970458984375,188.1513671875,-0.05908203,0.30273438
82.5,83.5,1310.8539428710938,449.05299377441406,-0.29211426,0.10598755
82.5,83.5,745.0967102050781,248.1212921142578,0.19342041,0.24258423
82.5,83.5,1305.8597412109375,273.1210479736328,-0.28051758,0.24209595
82.5,83.5,815.0672302246094,205.13167572021484,0.13446045,0.26335144
82.5,83.5,1513.7609252929688,745.9196472167969,-0.4781494,-0.16070557
82.5,83.5,1379.80029296875,447.0611267089844,-0.39941406,0.12225342
82.5,83.5,1319.8534545898438,701.9482116699219,-0.29309082,-0.10357666
82.5,83.5,1151.9386596679688,228.14136505126953,-0.122680664,0.2827301
82.5,83.5,991.9870300292969,177.1587905883789,-0.025939941,0.31758118
82.5,83.5,1391.8023681640625,446.051513671875,-0.39526367,0.103027344
82.5,83.5,1315.8512573242188,705.9505004882812,-0.29748535,-0.09899902
82.5,83.5,622.1380615234375,681.9164733886719,0.27612305,-0.16705322
82.5,83.5,884.0533752441406,178.16275787353516,0.10675049,0.32551575
82.5,83.5,685.1146240234375,298.1088562011719,0.22924805,0.2177124
82.5,83.5,1257.8777465820312,274.1160583496094,-0.24450684,0.2321167
82.5,83.5,1324.8475341796875,702.943115234375,-0.30493164,-0.11376953
82.5,83.5,1100.9348754882812,190.17266082763672,-0.13024902,0.34532166
82.5,83.5,982.9883422851562,154.16404724121094,-0.02331543,0.32809448
82.5,83.5,1110.9265747070312,188.17396545410156,-0.14685059,0.3479309
82.5,83.5,1345.8374633789062,306.10784912109375,-0.32507324,0.21569824
82.5,83.5,862.0356750488281,161.1536865234375,0.0713501,0.30737305
82.5,83.5,1263.8722534179688,271.11412048339844,-0.25549316,0.22824097
82.5,83.5,1410.822998046875,444.04588317871094,-0.3540039,0.09176636
82.5,83.5,1371.8154907226562,464.0353088378906,-0.36901855,0.070617676
82.5,83.5,1411.8035888671875,530.0003662109375,-0.39282227,0.0007324219
82.5,83.5,850.0874328613281,185.1457290649414,0.17486572,0.29145813
82.5,83.5,596.1616516113281,625.9754028320312,0.32330322,-0.049194336
82.5,83.5,1480.7623901367188,860.8693542480469,-0.47521973,-0.2612915
82.5,83.5,666.1130065917969,305.0972137451172,0.22601318,0.19442749
82.5,83.5,1145.95166015625,219.14717864990234,-0.09667969,0.2943573
82.5,83.5,1192.897216796875,262.12384033203125,-0.2055664,0.24768066
82.5,83.5,852.0683288574219,173.17510986328125,0.13665771,0.35021973
82.5,83.5,1319.8477783203125,472.02906799316406,-0.30444336,0.058135986
82.5,83.5,1307.862060546875,303.1051788330078,-0.2758789,0.21035767
82.5,83.5,1325.8477172851562,468.03248596191406,-0.30456543,0.064971924
82.5,83.5,736.0758361816406,173.18106079101562,0.15167236,0.36212158
82.5,83.5,1329.831787109375,491.0183410644531,-0.33642578,0.03668213
82.5,83.5,689.1147155761719,290.1194763183594,0.22943115,0.23895264
82.5,83.5,1017.974365234375,165.199462890625,-0.05126953,0.39892578
82.5,83.5,1186.8945922851562,214.1253433227539,-0.21081543,0.25068665
82.5,83.5,1489.7772827148438,760.9170837402344,-0.44543457,-0.16583252
82.5,83.5,807.0485534667969,209.1406707763672,0.09710693,0.28134155
82.5,83.5,991.9800720214844,155.15939331054688,-0.039855957,0.31878662
82.5,83.5,1146.937255859375,209.14873504638672,-0.12548828,0.2974701
82.5,83.5,986.9893493652344,176.1565933227539,-0.02130127,0.31318665
82.5,83.5,1329.8237915039062,396.0478973388672,-0.352417,0.09579468
82.5,83.5,705.115234375,279.11485290527344,0.23046875,0.22970581
82.5,83.5,981.9927673339844,178.15353393554688,-0.014465332,0.30706787
82.5,83.5,1491.7545166015625,843.8777160644531,-0.4909668,-0.24456787
82.5,83.5,1345.8502807617188,391.04469299316406,-0.29943848,0.08938599
82.5,83.5,1308.8626708984375,285.1109619140625,-0.2746582,0.22192383
82.5,83.5,833.0661010742188,197.15106201171875,0.13220215,0.30212402
82.5,83.5,1229.8706665039062,301.1057891845703,-0.258667,0.21157837
82.5,83.5,791.06201171875,207.13529205322266,0.12402344,0.2705841
82.5,83.5,1497.7694702148438,733.9039916992188,-0.46105957,-0.1920166
82.5,83.5,698.1162719726562,289.1182556152344,0.23254395,0.23651123
82.5,83.5,1493.7694091796875,730.9181518554688,-0.46118164,-0.16369629
84.5,85.5,1319.8547973632812,351.09959411621094,-0.29040527,0.19918823
84.5,85.5,1319.850341796875,357.0948181152344,-0.2993164,0.18963623
84.5,85.5,1289.8674926757812,360.0973205566406,-0.26501465,0.19464111
84.5,85.5,1310.853759765625,350.0872039794922,-0.29248047,0.17440796
84.5,85.5,1290.8641967773438,254.1203384399414,-0.27160645,0.24067688
84.5,85.5,791.0843505859375,884.860595703125,0.16870117,-0.2788086
84.5,85.5,1314.85498046875,357.0921325683594,-0.29003906,0.18426514
84.5,85.5,1334.853759765625,531.0,-0.29248047,0.0
84.5,85.5,1325.8460693359375,348.0995635986328,-0.30786133,0.1991272
84.5,85.5,1349.8434448242188,329.0924072265625,-0.31311035,0.18481445
84.5,85.5,1363.8131103515625,327.0962219238281,-0.3737793,0.19244385
84.5,85.5,1306.8506469726562,358.0818176269531,-0.29870605,0.16363525
84.5,85.5,1469.767578125,697.9091186523438,-0.46484375,-0.1817627
84.5,85.5,1347.8485107421875,445.0299072265625,-0.30297852,0.059814453
84.5,85.5,1528.75341796875,758.8939819335938,-0.49316406,-0.21203613
84.5,85.5,1329.84912109375,531.0028686523438,-0.3017578,0.0057373047
84.5,85.5,1332.8453369140625,347.09410095214844,-0.30932617,0.1882019
84.5,85.5,1321.8543701171875,467.02403259277344,-0.29125977,0.048065186
84.5,85.5,1524.7537231445312,764.8864135742188,-0.4925537,-0.22717285
84.5,85.5,1357.8311157226562,329.09376525878906,-0.33776855,0.18753052
84.5,85.5,1334.8427734375,342.0953063964844,-0.31445312,0.1906128
84.5,85.5,1344.8477172851562,451.03038024902344,-0.30456543,0.060760498
84.5,85.5,1340.856201171875,531.9970397949219,-0.28759766,-0.00592041
84.5,85.5,1345.8430786132812,338.10362243652344,-0.31384277,0.20724487
84.5,85.5,1370.837890625,523.0017395019531,-0.32421875,0.003479004
84.5,85.5,1270.8744506835938,267.11883544921875,-0.25109863,0.2376709
84.5,85.5,1530.746826171875,894.8539123535156,-0.50634766,-0.2921753
84.5,85.5,1355.833984375,444.02040100097656,-0.33203125,0.040802002
84.5,85.5,1511.7562255859375,804.8905334472656,-0.48754883,-0.2189331
84.5,85.5,713.1207275390625,269.12408447265625,0.24145508,0.24816895
84.5,85.5,707.1172180175781,271.12156677246094,0.23443604,0.24313354
84.5,85.5,1350.8427734375,337.1022644042969,-0.31445312,0.20452881
84.5,85.5,1300.8544311523438,358.0880889892578,-0.2911377,0.17617798
84.5,85.5,1309.859130859375,446.0270080566406,-0.28173828,0.054016113
84.5,85.5,1343.8450927734375,456.0226135253906,-0.30981445,0.04522705
84.5,85.5,1564.7322387695312,891.8518371582031,-0.53552246,-0.29632568
84.5,85.5,1323.8638916015625,456.01385498046875,-0.2722168,0.027709961
84.5,85.5,1306.8480224609375,671.941650390625,-0.30395508,-0.11669922
84.5,85.5,804.0869445800781,891.8464965820312,0.17388916,-0.30700684
84.5,85.5,1302.8574829101562,255.12531280517578,-0.28503418,0.2506256
84.5,85.5,1277.8692626953125,850.8767395019531,-0.2614746,-0.246521
84.5,85.5,799.0862731933594,889.8477478027344,0.17254639,-0.3045044
84.5,85.5,1325.8600463867188,448.0244598388672,-0.27990723,0.048919678
84.5,85.5,1334.8522338867188,448.0320281982422,-0.29553223,0.0640564
84.5,85.5,1553.7467041015625,903.8538818359375,-0.5065918,-0.29223633
84.5,85.5,1328.8556518554688,460.01904296875,-0.2886963,0.038085938
84.5,85.5,1333.8483276367188,460.0146789550781,-0.30334473,0.02935791
84.5,85.5,1332.8482055664062,437.0353546142578,-0.30358887,0.07070923
84.5,85.5,1238.8931884765625,257.1282501220703,-0.21362305,0.25650024
